regime,qqq_cagr,qqq_dd,纯QQQ_final,持有TQQQ_final,TQQQ+SMA全程_final,组合_final,纯QQQ_dd,持有TQQQ_dd,TQQQ+SMA全程_dd,组合_dd
有大跌/震荡,14.804645425385798,-36.58268451141654,1178932.5742258606,3202129.393886064,3740380.6783025754,2523803.923798744,-36.3348468112221,-81.46371989639752,-61.14987844918283,-42.351206570393444
有大跌/震荡,6.972045862135756,-59.00677292754188,551379.3043788666,192920.14669922783,392278.1112088769,401597.64493186405,-55.4067227933959,-95.50909647912546,-71.12109148348922,-71.12109148348922
有大跌/震荡,15.047229710177469,-51.414991685265306,1040163.3688233135,1902538.9371679216,2170658.5453110016,1755416.609780733,-45.43326559433311,-91.90543027463194,-61.82593478444003,-61.82593478444003
有大跌/震荡,8.916526573654027,-70.05151093037611,555718.0297364969,150371.4327408726,668964.0260844873,686330.4191123303,-69.94886459580938,-99.01821471420403,-86.92544114044836,-69.94886459580928
强劲平稳,14.211967084380728,-31.183154141978576,848108.8220910945,854341.0703312894,544245.9853431281,775372.8573964508,-30.931059987715226,-80.86586998298723,-77.8519743091078,-60.39079326491006
强劲平稳,14.484952637716741,-34.64745305184719,854284.2735506431,1225197.1948854967,614135.3630752494,404084.1072750118,-20.63567056354255,-76.46112432734841,-70.6559323437117,-68.2792721226543
有大跌/震荡,7.9214954719885045,-62.542338806917506,491358.0830624631,145496.68034106406,600788.084972242,614670.4903065998,-47.86683251834408,-96.85226106829246,-77.88156564008627,-77.88156564008627
有大跌/震荡,18.9143592227744,-42.95352131588468,1323230.970353352,2135648.850073143,1499927.148886752,1147128.189711733,-41.175626545761226,-86.41921738263558,-65.68604489637767,-57.90308182804302
有大跌/震荡,21.7636470191918,-36.46496815286625,1479884.3976013786,4214354.258413384,2322010.4622729067,1501051.5048460516,-35.59475436346104,-80.2594228294132,-73.91763951706982,-73.91763951706982
有大跌/震荡,23.284030778580302,-47.08490535598182,1565368.8743483848,4376435.692914193,3892311.452282805,4560433.031840106,-47.084919882685405,-90.3853674905115,-80.74863570510105,-61.617740704491986
有大跌/震荡,2.7887523221984623,-45.57864572137397,399463.969098166,68861.27881865263,133068.51026004716,298955.1182991866,-41.25694568338958,-88.34601725974164,-76.29557199826944,-72.17672970406173
有大跌/震荡,9.102155335358407,-43.28659131823521,849184.3108048042,566706.9107216393,549044.0335335091,472060.2235489955,-38.879589701841596,-84.11698907098199,-69.5530068244392,-62.746595790580585
有大跌/震荡,19.10368984923054,-35.8004995854742,1041083.689413561,1533666.0831488983,1003405.6353858331,1859387.72341048,-35.272129718655385,-76.07790150719269,-60.89845601111779,-60.89845601111779
有大跌/震荡,19.316209146594197,-38.69681210003968,1587606.1371257892,5220286.645788097,3270850.806665986,4786773.428400943,-26.59565171507229,-79.75858818204252,-78.61073307514835,-67.85101290766293
有大跌/震荡,8.938746645366002,-51.3318440109819,631119.1251444556,267444.3342381771,565820.226936875,651540.192057434,-43.04767035863387,-93.67699792876984,-84.30878451142847,-84.30878451142847
有大跌/震荡,14.103421527112904,-43.02205859195269,969662.5189855872,918133.3937397714,1416276.1573860715,3018060.609637808,-42.69204409847468,-90.98442566966098,-77.74431441234054,-49.29502197539099
有大跌/震荡,17.550436485838826,-43.915140665570874,1390492.1171718892,1544082.4811396815,416649.83345876087,666303.9068888656,-40.93574047278039,-84.77067263820094,-80.57168344164648,-62.7813883928128
有大跌/震荡,11.60890916871573,-52.07743736721662,968714.7490632815,1598730.56330654,1717234.2889435473,1523017.3625229362,-51.64979001817072,-92.31346643972147,-78.20606681053961,-78.20606681053961
